,Unnamed: 0,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,CFID,CFPARAMS,SEASON
260,260,203088,Kendall Marshall,1610612756,PHX,21.0,48,12,36,0.25,14.6,1.2,3.1,0.371,0.5,1.5,0.315,0.2,0.3,0.571,0.1,0.8,0.9,3.0,1.2,0.5,0.1,0.1,1.0,0.5,3.0,-3.9,0,0,5,"203088,1610612756",2012
261,261,2570,Kendrick Perkins,1610612760,OKC,28.0,78,58,20,0.744,25.1,1.8,4.0,0.457,0.0,0.0,0.0,0.6,0.9,0.611,1.4,4.6,6.0,1.4,1.4,0.6,1.1,0.5,2.9,0.9,4.2,5.2,0,0,5,"2570,1610612760",2012
262,262,202702,Kenneth Faried,1610612743,DEN,23.0,80,55,25,0.688,28.1,4.8,8.6,0.552,0.0,0.0,0.0,2.0,3.3,0.613,3.3,5.9,9.2,1.0,1.4,1.0,1.0,0.9,2.9,2.9,11.5,2.7,31,0,5,"202702,1610612743",2012
263,263,203145,Kent Bazemore,1610612744,GSW,23.0,61,34,27,0.557,4.4,0.7,1.9,0.371,0.2,0.6,0.294,0.4,0.7,0.614,0.1,0.3,0.4,0.4,0.3,0.3,0.1,0.1,0.4,0.5,2.0,-0.6,0,0,5,"203145,1610612744",2012
264,264,2030,Kenyon Martin,1610612752,NYK,35.0,18,13,5,0.722,24.0,3.1,5.2,0.602,0.0,0.0,0.0,0.9,2.2,0.425,1.9,3.4,5.3,0.4,0.9,0.9,0.9,0.2,3.6,1.6,7.2,3.2,1,0,5,"2030,1610612752",2012
265,265,201142,Kevin Durant,1610612760,OKC,24.0,81,60,21,0.741,38.5,9.0,17.7,0.51,1.7,4.1,0.416,8.4,9.3,0.905,0.6,7.3,7.9,4.6,3.5,1.4,1.3,0.5,1.8,6.5,28.1,8.9,19,3,5,"201142,1610612760",2012
266,266,708,Kevin Garnett,1610612738,BOS,37.0,68,36,32,0.529,29.7,6.2,12.5,0.496,0.0,0.2,0.125,2.3,3.0,0.786,1.1,6.7,7.8,2.3,1.6,1.1,0.9,0.3,2.3,3.3,14.8,1.6,19,0,5,"708,1610612738",2012
267,267,203158,Kevin Jones,1610612739,CLE,23.0,32,5,27,0.156,10.4,1.3,3.3,0.402,0.0,0.0,0.0,0.3,0.5,0.6,1.2,1.3,2.4,0.3,0.3,0.3,0.2,0.4,0.8,0.5,3.0,1.7,1,0,5,"203158,1610612739",2012
268,268,201567,Kevin Love,1610612750,MIN,24.0,18,9,9,0.5,34.3,5.8,16.6,0.352,1.1,5.1,0.217,5.6,7.9,0.704,3.6,10.4,14.0,2.3,2.2,0.7,0.5,1.8,1.9,6.2,18.3,0.1,14,0,5,"201567,1610612750",2012
269,269,2755,Kevin Martin,1610612760,OKC,30.0,77,57,20,0.74,27.7,4.5,10.1,0.45,2.1,4.8,0.426,2.8,3.2,0.89,0.4,1.9,2.3,1.4,1.3,0.9,0.1,0.4,1.8,2.1,14.0,5.7,0,0,5,"2755,1610612760",2012
270,270,203122,Kevin Murphy,1610612762,UTA,23.0,17,11,6,0.647,3.1,0.4,1.6,0.25,0.1,0.3,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.2,0.1,0.0,0.0,0.2,0.1,0.9,-2.6,0,0,5,"203122,1610612762",2012
271,271,202338,Kevin Seraphin,1610612764,WAS,23.0,79,27,52,0.342,21.8,4.2,9.1,0.461,0.0,0.0,0.0,0.8,1.1,0.693,1.4,3.0,4.4,0.7,1.6,0.3,0.7,0.5,2.7,1.3,9.1,-2.8,4,0,5,"202338,1610612764",2012
272,272,2039,Keyon Dooling,1610612763,MEM,33.0,7,6,1,0.857,11.7,1.4,3.0,0.476,0.7,1.7,0.417,0.9,1.0,0.857,0.0,0.1,0.1,1.1,0.7,0.1,0.0,0.0,1.1,1.4,4.4,-2.9,0,0,5,"2039,1610612763",2012
273,273,203114,Khris Middleton,1610612765,DET,21.0,27,9,18,0.333,17.6,2.3,5.2,0.44,0.5,1.7,0.311,1.0,1.2,0.844,0.1,1.7,1.9,1.0,0.4,0.6,0.1,0.3,2.0,0.9,6.1,1.0,0,0,5,"203114,1610612765",2012
274,274,203119,Kim English,1610612765,DET,24.0,41,13,28,0.317,9.9,1.0,2.7,0.375,0.3,1.2,0.28,0.5,0.7,0.724,0.2,0.7,0.9,0.6,0.5,0.4,0.1,0.2,1.1,0.6,2.9,-1.4,0,0,5,"203119,1610612765",2012
275,275,2550,Kirk Hinrich,1610612741,CHI,32.0,60,38,22,0.633,29.4,2.7,7.0,0.377,1.2,3.0,0.39,1.2,1.6,0.714,0.3,2.4,2.6,5.2,1.7,1.1,0.4,0.5,3.2,2.1,7.7,1.7,1,0,5,"2550,1610612741",2012
